gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,RevenuePerMonth,ChargeRatio,HighValueCustomer
0,0,0,0,30,1,1,55.3,1530.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.37419354838709,1.0977843237704918,0
1,0,1,1,47,1,1,99.35,4749.15,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,98.940625,0.9940902410806416,1
1,0,1,1,1,0,0,30.2,30.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.1,1.8757763975155277,0
1,0,1,0,72,1,1,90.25,6369.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,87.2527397260274,1.022631141879254,1
0,0,0,1,17,1,1,64.7,1093.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,60.727777777777774,1.048150481504815,0
0,1,1,0,71,1,1,96.35,6766.95,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,93.98541666666667,1.0143662404316451,1
1,1,1,0,2,1,1,95.5,181.65,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,60.550000000000004,1.5515840779853776,1
0,0,1,1,27,1,0,66.15,1874.45,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,66.94464285714285,0.9735866908460145,0
1,0,0,0,1,1,0,20.2,20.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,10.1,1.8198198198198199,0
1,1,0,0,1,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.625,1.9153439153439153,0
0,0,1,1,72,1,0,99.9,7251.7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,99.33835616438355,0.9956312203912789,1
1,0,0,0,5,1,1,69.7,316.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.81666666666666,1.2951378135645712,0
0,0,0,0,46,1,1,74.8,3548.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75.49574468085106,0.9778321697772091,1
1,0,0,0,34,1,1,106.35,3549.25,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,101.40714285714286,1.038501778614773,1
0,0,0,0,11,1,1,97.85,1105.4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,92.11666666666667,1.0508322892428852,1
1,0,1,1,10,1,0,49.55,475.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,43.24545454545454,1.1198890486952948,0
0,0,1,1,70,1,1,69.2,4872.35,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,68.62464788732395,0.9939008971648781,0
0,0,1,1,17,1,0,20.75,418.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,23.23611111111111,0.856160458452722,0
0,0,0,0,63,1,1,79.85,4861.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,75.96015625,1.0375498685399303,1
0,0,1,0,13,1,1,76.2,981.45,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,70.10357142857143,1.0716761263750063,1
0,0,0,0,49,1,1,84.5,3906.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,78.134,1.0678090327798417,1
1,0,0,0,2,1,0,49.25,97.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32.333333333333336,1.4774999999999998,0
0,0,0,0,2,1,1,80.65,144.15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,48.050000000000004,1.6442405708460754,1
1,0,0,0,52,1,1,79.75,4217.8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,79.5811320754717,0.9896857731572539,1
0,0,1,1,69,1,1,64.15,4254.1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,60.77285714285715,1.0384819962535556,0
0,1,0,0,43,1,1,90.25,3838.75,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,87.24431818181819,1.0227287360762345,1
0,0,0,0,15,1,1,99.1,1426.4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,89.15,1.0992789794786466,1
0,1,1,0,25,1,1,69.5,1752.65,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,67.40961538461539,1.015939054901189,0
0,1,1,0,8,1,1,80.65,633.3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,70.36666666666666,1.130079402148529,1
0,1,1,1,60,1,1,74.85,4456.35,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,73.05491803278689,1.0107363830564378,1
1,1,0,0,18,1,1,95.45,1752.55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,92.23947368421052,1.0237080522706106,1
0,0,1,1,63,1,1,99.65,6311.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,98.6125,1.000376458777764,1
1,1,1,1,66,1,1,108.45,7076.35,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,105.61716417910448,1.0171908138338455,1
0,0,1,1,34,1,0,24.95,894.3,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,25.55142857142857,0.939685784999462,0
0,0,0,0,72,1,1,107.5,7853.7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,107.58493150684932,0.9900084524455321,1
0,0,1,0,47,1,1,100.5,4707.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,98.06458333333335,1.0144897057895732,1
1,0,0,0,60,1,1,89.9,5450.7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,89.35573770491803,0.994956184117423,1
1,0,1,0,72,0,0,42.1,2962.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40.57534246575342,1.0126194398682045,0
0,0,1,1,18,1,1,54.4,957.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,50.373684210526314,1.0589078987808627,0
0,0,0,0,9,1,0,94.4,857.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,85.725,1.0884981262611706,1
0,0,0,0,3,1,1,75.3,244.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,61.025,1.2140266021765418,1
1,0,1,0,47,1,1,78.9,3650.35,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,76.04895833333333,1.0240242270201578,1
0,0,0,0,31,1,0,79.2,2497.2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,78.0375,1.0020559860825557,1
0,0,1,1,50,1,0,20.15,930.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,18.25294117647059,1.046593339443935,0
1,0,0,0,10,1,1,79.85,887.35,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,80.66818181818182,0.9777369622084933,1
1,0,0,0,1,1,0,49.05,49.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24.525,1.921645445641528,0
0,0,1,1,52,1,1,20.4,1090.65,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,20.578301886792456,0.9453941328203557,0
1,1,1,1,64,1,1,111.6,7099.0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,109.21538461538462,1.0125628140703518,1
1,0,1,1,62,1,1,24.25,1424.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,22.61269841269841,1.0269897821995162,0
0,0,0,1,3,1,1,64.5,177.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,44.35,1.4222712238147739,0
0,1,0,0,56,1,0,110.5,6139.5,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,107.71052631578948,1.0164609053497942,1
0,0,0,0,46,1,0,55.65,2688.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,57.2095744680851,0.9560282910247273,0
0,0,1,1,8,1,0,54.65,482.25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,53.583333333333336,1.0012213740458014,0
1,1,0,0,30,1,1,74.75,2111.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,68.10645161290323,1.0816645661205246,1
0,0,1,1,45,1,1,25.9,1216.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,26.44782608695652,0.9436084270552827,0
0,0,0,1,1,1,1,79.35,79.35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,39.675,1.9508297480024586,1
0,0,1,1,11,0,0,50.55,565.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,47.112500000000004,1.0506625097427902,0
0,0,1,0,7,1,1,75.15,496.9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.1125,1.1907308377896615,1
0,0,0,0,42,1,1,103.8,4327.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,100.63953488372093,1.0212561491820158,1
0,0,1,0,49,1,1,20.15,973.35,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,19.467,0.9845116529046758,0
1,0,0,0,9,1,1,99.3,918.75,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,91.875,1.069179004037685,1
0,0,1,0,35,1,1,62.15,2215.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,61.540277777777774,0.993759577161385,0
0,0,1,1,48,1,0,20.65,1057.0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,21.571428571428573,0.9148734177215189,0
0,0,1,1,46,1,1,19.95,927.1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,19.72553191489362,0.9625808438558668,0
1,0,1,0,29,0,0,33.75,1009.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33.641666666666666,0.9742602838585519,0
1,0,1,1,30,1,0,82.05,2570.2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82.90967741935484,0.9778371520836537,1
1,1,0,0,1,1,0,74.7,74.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,37.35,1.9478487614080835,1
1,0,1,1,66,1,1,84.0,5714.25,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,85.28731343283582,0.9734918918918919,1
0,0,0,0,65,1,1,111.05,7107.0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,107.68181818181819,1.0217900460058553,1
1,0,0,0,72,1,1,100.9,7459.05,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,102.17876712328767,0.9779143792194689,1
0,0,0,0,12,1,1,78.95,927.35,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71.33461538461539,1.0914553091933854,1
1,0,1,1,71,1,1,66.85,4748.7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,65.95416666666667,0.9984442093471901,0
1,0,0,0,5,1,0,21.05,113.85,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,18.974999999999998,1.053817271589487,0
1,0,0,0,52,1,0,21.0,1107.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,20.89056603773585,0.9593173590760212,0
0,1,1,0,25,1,1,98.5,2514.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,96.71153846153847,1.0080692777012399,1
1,0,0,0,1,1,0,20.2,20.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,10.1,1.8198198198198199,0
0,0,1,1,1,1,0,19.45,19.45,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,9.725,1.8135198135198136,0
1,0,0,0,38,1,0,95.0,3605.6,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,92.45128205128205,1.0165724633704658,1
0,1,1,0,66,0,0,45.55,3027.25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,45.18283582089552,0.9862971640946918,0
1,0,1,0,68,1,1,110.0,7611.85,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,110.31666666666668,0.9881718820182661,1
1,0,0,0,5,0,0,24.3,100.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.7,1.3728813559322035,0
0,0,1,1,72,1,1,104.15,7303.05,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,100.04178082191781,1.0307617220599101,1
0,0,0,0,32,0,0,30.15,927.65,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28.11060606060606,1.0357049914120648,0
1,0,0,0,43,1,0,94.35,3921.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,89.12045454545455,1.0469321362822483,1
1,0,1,1,72,1,0,19.4,1363.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,18.674657534246574,0.9860400348128807,0
1,0,1,0,55,1,1,96.75,5238.9,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,93.55178571428571,1.0232487865682072,1
0,0,0,0,52,1,0,57.95,3042.25,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,57.40094339622642,0.9922784912365722,0
0,0,0,0,43,1,1,91.65,3954.1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,89.86590909090908,1.0086290988219406,1
0,1,1,0,37,1,1,76.5,2868.15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.47763157894737,1.000292483182217,1
0,0,1,1,64,0,1,54.6,3423.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,52.66923076923077,1.0173426974344273,0
1,0,1,1,3,1,0,89.85,248.4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,62.1,1.423930269413629,1
0,0,0,0,36,0,0,31.05,1126.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.44189189189189,0.9875359951863155,0
0,0,1,1,10,1,1,100.25,1064.65,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,96.78636363636365,1.0251940687026448,1
0,0,0,0,41,1,0,20.65,835.15,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,19.88452380952381,0.9887704497520378,0
1,0,1,1,27,1,1,85.2,2151.6,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,76.84285714285714,1.0945127546338778,1
0,0,1,1,56,1,1,99.8,5515.45,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,96.76228070175438,1.0208436145680986,1
0,0,0,0,6,1,0,20.7,112.75,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,16.107142857142858,1.2100208768267222,0
1,0,0,0,3,1,1,74.4,229.55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.3875,1.2742453436095056,1
0,0,1,1,7,1,0,50.7,350.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.79375,1.1318543323566346,0
0,0,1,1,4,1,0,20.85,62.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,12.58,1.5353460972017674,0
1,0,0,0,33,1,1,88.95,3027.65,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,89.0485294117647,0.9878006957032973,1
0,1,0,0,27,1,1,78.05,2135.5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,76.26785714285714,1.0101224867113474,1
1,0,1,0,72,1,1,23.55,1723.95,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,23.615753424657534,0.9567044158156878,0
1,0,0,0,1,1,0,19.75,19.75,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,9.875,1.8160919540229885,0
1,1,0,0,71,0,1,56.45,3985.35,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,55.35208333333333,1.0017375873414913,0
0,0,0,0,13,1,1,85.95,1215.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,86.83214285714287,0.9785711381287358,1
0,0,1,1,25,0,1,58.6,1502.65,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,57.79423076923077,0.9966964314918392,0
1,0,0,0,67,1,0,50.55,3260.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,47.942647058823525,1.0328415612511643,0
1,0,0,0,1,0,1,35.45,35.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17.725,1.8931909212283045,0
1,0,0,0,2,1,0,44.35,81.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27.083333333333332,1.5792284866468844,0
0,0,0,0,43,1,1,25.7,1188.2,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,27.004545454545454,0.9177081642590489,0
0,0,0,0,23,1,1,75.0,1778.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.10416666666667,0.9986130374479888,1
0,0,1,1,64,1,0,20.2,1277.75,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,19.657692307692308,0.9778439769130515,0
1,0,0,1,57,1,1,19.6,1170.55,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,20.181896551724137,0.9253184648569454,0
0,1,1,0,1,1,1,70.45,70.45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.225,1.9447895100069013,1
0,1,1,1,72,1,1,88.05,6425.65,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,88.02260273972603,0.989074653966593,1
0,0,0,0,8,1,0,71.15,563.65,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,62.62777777777777,1.1182222998341047,1
0,0,1,0,61,1,1,101.05,5971.25,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,96.31048387096774,1.0384287075788339,1
1,0,0,0,64,1,1,84.3,5289.05,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,81.37,1.0234308607502731,1
1,1,1,0,71,1,0,23.95,1756.2,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,24.391666666666666,0.9432228421398097,0
0,0,1,1,65,1,1,99.05,6416.7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,97.22272727272727,1.0084224165856819,1
1,0,0,0,3,1,0,19.6,61.35,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,15.3375,1.1996939556235655,0
1,0,0,0,1,1,1,45.65,45.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.825,1.9160545645330536,0
1,0,0,1,30,1,0,64.5,1929.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,62.25645161290323,1.019658838828119,0
1,0,1,1,15,1,1,69.5,1071.4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,66.9625,1.0226227699098767,0
0,0,1,1,8,1,1,68.55,564.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,62.705555555555556,1.0760443010377605,0
1,0,0,0,7,1,0,95.0,655.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,81.9375,1.145440844009043,1
0,0,1,1,70,1,1,108.15,7930.55,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,111.69788732394366,0.9596453187194982,1
1,0,1,1,62,1,0,86.1,5215.25,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,82.78174603174604,1.0276701558281627,1
0,0,1,1,6,1,0,19.7,113.5,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,16.214285714285715,1.1443983402489626,0
0,0,1,1,14,1,1,80.9,1152.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76.85333333333332,1.0391334132556946,1
0,0,0,0,22,1,1,84.15,1821.95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79.21521739130435,1.0490528198596167,1
