gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,RevenuePerMonth,ChargeRatio,HighValueCustomer,ContractRisk,CustomerLifetimeValue,ChargesPerTenure,ServiceUsageScore,TenureGroup_New Customer,TenureGroup_Regular Customer,TenureGroup_VIP Customer,RiskCategory_Medium Risk,RiskCategory_High Risk
1,0,1,1,13,1,1,49.95,587.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.96071428571429,1.1626901654335355,0,0,649.35,41.96071428571429,1,0,1,0,1,0
1,0,0,0,16,1,0,18.95,326.8,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,19.223529411764705,0.9370273414776032,0,2,303.2,19.223529411764705,0,0,1,0,0,0
1,0,1,0,58,1,0,100.35,5681.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,96.28983050847458,1.0314541558509434,1,1,5820.299999999999,96.28983050847458,3,0,0,1,0,1
1,0,0,0,49,1,1,103.7,5036.3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,100.726,1.01940506851739,1,0,5081.3,100.726,4,0,0,1,0,1
1,0,0,0,25,1,1,105.5,2686.05,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,103.3096153846154,1.0114120314890949,1,0,2637.5,103.3096153846154,5,0,0,0,0,1
0,0,1,1,69,1,0,113.25,7895.15,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,112.78785714285712,0.9952731586975764,1,2,7814.25,112.78785714285713,6,0,0,1,0,1
0,0,0,0,52,1,0,20.65,1022.95,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,19.30094339622641,1.017194107532878,0,1,1073.8,19.300943396226415,0,0,0,1,0,0
1,0,0,1,71,1,0,106.7,7382.25,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,102.53125,1.0306067008753397,1,2,7575.7,102.53125,4,0,0,1,0,1
0,0,1,1,10,1,0,55.2,528.35,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,48.03181818181818,1.1257995735607678,0,0,552.0,48.03181818181818,2,1,0,0,1,0
0,0,0,0,21,1,1,90.05,1862.9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,84.67727272727274,1.0510371903018727,1,0,1891.05,84.67727272727274,3,0,1,0,0,1
1,1,0,0,1,0,1,39.65,39.65,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,19.825,1.9039615846338536,0,0,39.65,19.825,2,1,0,0,1,0
1,0,1,0,12,1,0,19.8,202.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,15.557692307692308,1.1958188153310103,0,1,237.6,15.557692307692308,0,1,0,0,0,0
1,0,0,0,1,1,0,20.15,20.15,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,10.075,1.81941309255079,0,0,20.15,10.075,0,1,0,0,0,0
0,0,1,0,58,1,1,59.9,3505.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,59.40847457627118,0.991582727757358,0,2,3474.2,59.40847457627118,2,0,0,1,1,0
1,0,1,1,49,1,0,59.6,2970.3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,59.406000000000006,0.9866569546071582,0,0,2920.4,59.406000000000006,3,0,0,1,1,0
0,0,0,0,30,1,1,55.3,1530.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.37419354838709,1.0977843237704918,0,0,1659.0,49.37419354838709,2,0,0,0,1,0
1,0,1,1,47,1,1,99.35,4749.15,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,98.940625,0.9940902410806416,1,0,4669.45,98.940625,3,0,0,0,0,1
1,0,1,1,1,0,0,30.2,30.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.1,1.875776397515528,0,0,30.2,15.1,1,1,0,0,0,0
1,0,1,0,72,1,1,90.25,6369.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,87.2527397260274,1.022631141879254,1,2,6498.0,87.2527397260274,6,0,0,1,0,1
0,0,0,1,17,1,1,64.7,1093.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,60.727777777777774,1.048150481504815,0,0,1099.9,60.727777777777774,2,0,1,0,1,0
0,1,1,0,71,1,1,96.35,6766.95,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,93.98541666666668,1.0143662404316451,1,2,6840.849999999999,93.98541666666667,4,0,0,1,0,1
1,1,1,0,2,1,1,95.5,181.65,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,60.55,1.5515840779853776,1,0,191.0,60.550000000000004,3,1,0,0,0,1
0,0,1,1,27,1,0,66.15,1874.45,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,66.94464285714285,0.9735866908460143,0,1,1786.0500000000002,66.94464285714285,4,0,0,0,1,0
1,0,0,0,1,1,0,20.2,20.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,10.1,1.81981981981982,0,0,20.2,10.1,0,1,0,0,0,0
1,1,0,0,1,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.625,1.915343915343916,0,0,45.25,22.625,0,1,0,0,1,0
0,0,1,1,72,1,0,99.9,7251.7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,99.33835616438355,0.9956312203912788,1,2,7192.8,99.33835616438355,4,0,0,1,0,1
1,0,0,0,5,1,1,69.7,316.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.81666666666666,1.2951378135645712,0,0,348.5,52.81666666666666,0,1,0,0,1,0
0,0,0,0,46,1,1,74.8,3548.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75.49574468085106,0.9778321697772092,1,0,3440.8,75.49574468085106,1,0,0,0,0,1
1,0,0,0,34,1,1,106.35,3549.25,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,101.40714285714286,1.038501778614773,1,0,3615.9,101.40714285714286,4,0,0,0,0,1
0,0,0,0,11,1,1,97.85,1105.4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,92.11666666666667,1.0508322892428852,1,0,1076.35,92.11666666666667,3,1,0,0,0,1
1,0,1,1,10,1,0,49.55,475.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,43.24545454545454,1.1198890486952948,0,1,495.5,43.24545454545454,1,1,0,0,1,0
0,0,1,1,70,1,1,69.2,4872.35,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,68.62464788732395,0.993900897164878,0,2,4844.0,68.62464788732395,3,0,0,1,1,0
0,0,1,1,17,1,0,20.75,418.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,23.23611111111111,0.856160458452722,0,1,352.75,23.23611111111111,0,0,1,0,0,0
0,0,0,0,63,1,1,79.85,4861.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,75.96015625,1.0375498685399305,1,2,5030.549999999999,75.96015625,5,0,0,1,0,1
0,0,1,0,13,1,1,76.2,981.45,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,70.10357142857143,1.0716761263750063,1,0,990.6,70.10357142857143,4,0,1,0,0,1
0,0,0,0,49,1,1,84.5,3906.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,78.134,1.0678090327798415,1,0,4140.5,78.134,1,0,0,1,0,1
1,0,0,0,2,1,0,49.25,97.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32.333333333333336,1.4774999999999998,0,0,98.5,32.333333333333336,1,1,0,0,1,0
0,0,0,0,2,1,1,80.65,144.15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,48.05,1.6442405708460754,1,0,161.3,48.050000000000004,1,1,0,0,0,1
1,0,0,0,52,1,1,79.75,4217.8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,79.5811320754717,0.989685773157254,1,2,4147.0,79.5811320754717,4,0,0,1,0,1
0,0,1,1,69,1,1,64.15,4254.1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,60.77285714285715,1.0384819962535556,0,2,4426.35,60.77285714285715,3,0,0,1,1,0
0,1,0,0,43,1,1,90.25,3838.75,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,87.24431818181819,1.0227287360762345,1,0,3880.75,87.24431818181819,2,0,0,0,0,1
0,0,0,0,15,1,1,99.1,1426.4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,89.15,1.0992789794786466,1,0,1486.5,89.15,4,0,1,0,0,1
0,1,1,0,25,1,1,69.5,1752.65,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,67.40961538461539,1.015939054901189,0,0,1737.5,67.40961538461539,3,0,0,0,1,0
0,1,1,0,8,1,1,80.65,633.3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,70.36666666666666,1.130079402148529,1,0,645.2,70.36666666666666,1,1,0,0,0,1
0,1,1,1,60,1,1,74.85,4456.35,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,73.05491803278689,1.0107363830564378,1,1,4491.0,73.05491803278689,5,0,0,1,0,1
1,1,0,0,18,1,1,95.45,1752.55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,92.23947368421052,1.0237080522706106,1,0,1718.1,92.23947368421052,2,0,1,0,0,1
0,0,1,1,63,1,1,99.65,6311.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,98.6125,1.000376458777764,1,1,6277.950000000001,98.6125,3,0,0,1,0,1
1,1,1,1,66,1,1,108.45,7076.35,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,105.61716417910448,1.0171908138338457,1,1,7157.7,105.61716417910448,5,0,0,1,0,1
0,0,1,1,34,1,0,24.95,894.3,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,25.55142857142857,0.939685784999462,0,2,848.3,25.55142857142857,0,0,0,0,0,0
0,0,0,0,72,1,1,107.5,7853.7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,107.58493150684932,0.990008452445532,1,2,7740.0,107.58493150684932,4,0,0,1,0,1
0,0,1,0,47,1,1,100.5,4707.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,98.06458333333336,1.0144897057895732,1,0,4723.5,98.06458333333335,3,0,0,0,0,1
1,0,0,0,60,1,1,89.9,5450.7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,89.35573770491803,0.994956184117423,1,0,5394.0,89.35573770491803,2,0,0,1,0,1
1,0,1,0,72,0,0,42.1,2962.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40.57534246575342,1.0126194398682045,0,2,3031.2000000000003,40.57534246575342,3,0,0,1,1,0
0,0,1,1,18,1,1,54.4,957.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,50.37368421052632,1.0589078987808629,0,1,979.2,50.373684210526314,2,0,1,0,1,0
0,0,0,0,9,1,0,94.4,857.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,85.725,1.0884981262611706,1,0,849.6,85.725,2,1,0,0,0,1
0,0,0,0,3,1,1,75.3,244.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,61.025,1.2140266021765418,1,0,225.9,61.025,4,1,0,0,0,1
1,0,1,0,47,1,1,78.9,3650.35,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,76.04895833333333,1.0240242270201578,1,1,3708.3,76.04895833333333,1,0,0,0,0,1
0,0,0,0,31,1,0,79.2,2497.2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,78.0375,1.0020559860825555,1,2,2455.2000000000003,78.0375,5,0,0,0,0,1
0,0,1,1,50,1,0,20.15,930.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,18.25294117647059,1.046593339443935,0,2,1007.5,18.25294117647059,0,0,0,1,0,0
1,0,0,0,10,1,1,79.85,887.35,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,80.66818181818182,0.9777369622084932,1,0,798.5,80.66818181818182,2,1,0,0,0,1
1,0,0,0,1,1,0,49.05,49.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24.525,1.921645445641528,0,0,49.05,24.525,1,1,0,0,1,0
0,0,1,1,52,1,1,20.4,1090.65,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,20.578301886792456,0.9453941328203556,0,1,1060.8,20.578301886792456,0,0,0,1,0,0
1,1,1,1,64,1,1,111.6,7099.0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,109.21538461538462,1.0125628140703518,1,2,7142.4,109.21538461538462,5,0,0,1,0,1
1,0,1,1,62,1,1,24.25,1424.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,22.61269841269841,1.0269897821995162,0,2,1503.5,22.61269841269841,0,0,0,1,0,0
0,0,0,1,3,1,1,64.5,177.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,44.35,1.422271223814774,0,0,193.5,44.35,3,1,0,0,1,0
0,1,0,0,56,1,0,110.5,6139.5,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,107.71052631578948,1.0164609053497942,1,1,6188.0,107.71052631578948,5,0,0,1,0,1
0,0,0,0,46,1,0,55.65,2688.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,57.2095744680851,0.9560282910247272,0,1,2559.9,57.2095744680851,1,0,0,0,1,0
0,0,1,1,8,1,0,54.65,482.25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,53.583333333333336,1.0012213740458014,0,0,437.2,53.583333333333336,2,1,0,0,1,0
1,1,0,0,30,1,1,74.75,2111.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,68.10645161290323,1.0816645661205246,1,0,2242.5,68.10645161290323,4,0,0,0,0,1
0,0,1,1,45,1,1,25.9,1216.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,26.44782608695652,0.9436084270552828,0,1,1165.5,26.44782608695652,0,0,0,0,0,0
0,0,0,1,1,1,1,79.35,79.35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,39.675,1.9508297480024583,1,0,79.35,39.675,1,1,0,0,0,1
0,0,1,1,11,0,0,50.55,565.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,47.1125,1.0506625097427902,0,0,556.05,47.112500000000004,3,1,0,0,1,0
0,0,1,0,7,1,1,75.15,496.9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.1125,1.1907308377896615,1,0,526.0500000000001,62.1125,1,1,0,0,0,1
0,0,0,0,42,1,1,103.8,4327.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,100.63953488372093,1.0212561491820158,1,0,4359.599999999999,100.63953488372093,5,0,0,0,0,1
0,0,1,0,49,1,1,20.15,973.35,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,19.467,0.9845116529046758,0,2,987.35,19.467,0,0,0,1,0,0
1,0,0,0,9,1,1,99.3,918.75,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,91.875,1.069179004037685,1,0,893.6999999999999,91.875,3,1,0,0,0,1
0,0,1,0,35,1,1,62.15,2215.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,61.540277777777774,0.993759577161385,0,1,2175.25,61.540277777777774,2,0,0,0,1,0
0,0,1,1,48,1,0,20.65,1057.0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,21.571428571428573,0.9148734177215188,0,2,991.2,21.571428571428573,0,0,0,0,0,0
0,0,1,1,46,1,1,19.95,927.1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,19.72553191489362,0.9625808438558668,0,2,917.7,19.72553191489362,0,0,0,0,0,0
1,0,1,0,29,0,0,33.75,1009.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33.641666666666666,0.974260283858552,0,0,978.75,33.641666666666666,1,0,0,0,0,0
1,0,1,1,30,1,0,82.05,2570.2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82.90967741935484,0.9778371520836536,1,0,2461.5,82.90967741935484,2,0,0,0,0,1
1,1,0,0,1,1,0,74.7,74.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,37.35,1.9478487614080835,1,0,74.7,37.35,1,1,0,0,0,1
1,0,1,1,66,1,1,84.0,5714.25,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,85.28731343283582,0.973491891891892,1,2,5544.0,85.28731343283582,5,0,0,1,0,1
0,0,0,0,65,1,1,111.05,7107.0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,107.6818181818182,1.021790046005855,1,0,7218.25,107.68181818181819,5,0,0,1,0,1
1,0,0,0,72,1,1,100.9,7459.05,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,102.17876712328768,0.9779143792194688,1,2,7264.8,102.17876712328767,4,0,0,1,0,1
0,0,0,0,12,1,1,78.95,927.35,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71.33461538461539,1.0914553091933854,1,0,947.4,71.33461538461539,1,1,0,0,0,1
1,0,1,1,71,1,1,66.85,4748.7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,65.95416666666667,0.99844420934719,0,1,4746.349999999999,65.95416666666667,3,0,0,1,1,0
1,0,0,0,5,1,0,21.05,113.85,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,18.975,1.053817271589487,0,0,105.25,18.974999999999998,0,1,0,0,0,0
1,0,0,0,52,1,0,21.0,1107.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,20.89056603773585,0.9593173590760212,0,2,1092.0,20.89056603773585,0,0,0,1,0,0
0,1,1,0,25,1,1,98.5,2514.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,96.71153846153848,1.00806927770124,1,0,2462.5,96.71153846153847,4,0,0,0,0,1
1,0,0,0,1,1,0,20.2,20.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,10.1,1.81981981981982,0,0,20.2,10.1,0,1,0,0,0,0
0,0,1,1,1,1,0,19.45,19.45,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,9.725,1.8135198135198136,0,0,19.45,9.725,0,1,0,0,0,0
1,0,0,0,38,1,0,95.0,3605.6,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,92.45128205128204,1.0165724633704658,1,1,3610.0,92.45128205128205,3,0,0,0,0,1
0,1,1,0,66,0,0,45.55,3027.25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,45.18283582089552,0.9862971640946918,0,1,3006.3,45.18283582089552,3,0,0,1,1,0
1,0,1,0,68,1,1,110.0,7611.85,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,110.31666666666668,0.988171882018266,1,2,7480.0,110.31666666666668,5,0,0,1,0,1
1,0,0,0,5,0,0,24.3,100.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.7,1.3728813559322035,0,0,121.5,16.7,0,1,0,0,0,0
0,0,1,1,72,1,1,104.15,7303.05,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,100.0417808219178,1.03076172205991,1,1,7498.8,100.04178082191781,4,0,0,1,0,1
0,0,0,0,32,0,0,30.15,927.65,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28.11060606060606,1.0357049914120648,0,1,964.8,28.11060606060606,1,0,0,0,0,0
1,0,0,0,43,1,0,94.35,3921.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,89.12045454545455,1.0469321362822483,1,1,4057.05,89.12045454545455,2,0,0,0,0,1
1,0,1,1,72,1,0,19.4,1363.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,18.67465753424657,0.9860400348128808,0,2,1396.8,18.674657534246574,0,0,0,1,0,0
1,0,1,0,55,1,1,96.75,5238.9,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,93.55178571428571,1.0232487865682072,1,0,5321.25,93.55178571428571,3,0,0,1,0,1
0,0,0,0,52,1,0,57.95,3042.25,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,57.40094339622642,0.9922784912365722,0,1,3013.4,57.40094339622642,3,0,0,1,1,0
0,0,0,0,43,1,1,91.65,3954.1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,89.86590909090908,1.0086290988219406,1,0,3940.95,89.86590909090908,3,0,0,0,0,1
0,1,1,0,37,1,1,76.5,2868.15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.47763157894737,1.000292483182217,1,0,2830.5,75.47763157894737,0,0,0,0,0,1
0,0,1,1,64,0,1,54.6,3423.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,52.66923076923077,1.0173426974344273,0,2,3494.4,52.66923076923077,4,0,0,1,1,0
1,0,1,1,3,1,0,89.85,248.4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,62.1,1.423930269413629,1,0,269.54999999999995,62.1,3,1,0,0,0,1
0,0,0,0,36,0,0,31.05,1126.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.44189189189189,0.9875359951863156,0,2,1117.8,30.44189189189189,1,0,0,0,0,0
0,0,1,1,10,1,1,100.25,1064.65,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,96.78636363636365,1.0251940687026448,1,0,1002.5,96.78636363636365,3,1,0,0,0,1
